name,ndcg_cut_10,recip_rank,map,P_10,recall_10,high_share,margin,avg_time_ms_per_query,low_activation_rate,low_calls,rank_ndcg,rank_mrr,rank_map,rank_speed,score_global
"          qid    docno  rank       score
0     1002197  3662526     1  106.724075
1     1002197  3580781     2  106.492355
2     1002197  3041679     3  106.386703
3     1002197  7243406     4  105.805832
4     1002197  7271914     5  105.500778
...       ...      ...   ...         ...
9995   998658  5413605    96   93.085327
9996   998658  3630292    97   93.064957
9997   998658  4055858    98   93.025368
9998   998658  2046245    99   93.004913
9999   998658  3790815   100   92.996948

[10000 rows x 4 columns]",0.3349241466641834,0.32369472311533487,0.3126361187369684,0.046,0.42666666666666664,0.4,2.0,6.824796763248742,81.0,81,1.0,1.0,1.0,23.0,7.6
"          qid    docno  rank       score
0     1002197  3662526     1  106.724075
1     1002197  3580781     2  106.492355
2     1002197  3041679     3  106.386703
3     1002197  7243406     4  105.805832
4     1002197  7271914     5  105.500778
...       ...      ...   ...         ...
9995   998658  3529030    96   92.790298
9996   998658   937020    97   92.781479
9997   998658  5300011    98   92.726921
9998   998658  3817073    99   92.677658
9999   998658   486365   100   92.677658

[10000 rows x 4 columns]",0.3218584107003562,0.3137661516867634,0.2995304639750636,0.044000000000000004,0.4116666666666666,0.3,2.0,6.912336903624237,80.0,80,4.0,2.0,2.0,24.0,9.399999999999999
"          qid    docno  rank       score
0     1002197  3662526     1  106.724075
1     1002197  3580781     2  106.492355
2     1002197  3041679     3  106.386703
3     1002197  7243406     4  105.805832
4     1002197  7271914     5  105.500778
...       ...      ...   ...         ...
9995   998658  5413605    96   93.085327
9996   998658  3630292    97   93.064957
9997   998658  4055858    98   93.025368
9998   998658  2046245    99   93.004913
9999   998658  3790815   100   92.996948

[10000 rows x 4 columns]",0.31492414666418345,0.3025801580894794,0.29152155371111305,0.044000000000000004,0.4066666666666666,0.4,1.5,6.612177253700793,75.0,75,6.0,6.0,5.0,18.0,9.5
"          qid    docno  rank       score
0     1002197  3662526     1  106.724075
1     1002197  3580781     2  106.492355
2     1002197  3041679     3  106.386703
3     1002197  7243406     4  105.805832
4     1002197  7271914     5  105.500778
...       ...      ...   ...         ...
9995   998658  3529030    96   92.790298
9996   998658   937020    97   92.781479
9997   998658  5300011    98   92.726921
9998   998658  3817073    99   92.677658
9999   998658   486365   100   92.677658

[10000 rows x 4 columns]",0.3102770599728919,0.30420911842259934,0.2899734307108996,0.04200000000000001,0.39166666666666666,0.3,1.5,6.633033440448344,72.0,72,8.0,5.0,6.0,19.0,10.5
"          qid    docno  rank       score
0     1002197  3662526     1  106.724075
1     1002197  3580781     2  106.492355
2     1002197  3041679     3  106.386703
3     1002197  7243406     4  105.805832
4     1002197  7271914     5  105.500778
...       ...      ...   ...         ...
9995   998658  7314362    96   93.452179
9996   998658  1846517    97   93.429665
9997   998658  4606763    98   93.404419
9998   998658  3665620    99   93.396622
9999   998658  1119097   100   93.395447

[10000 rows x 4 columns]",0.32503370435343554,0.308025287899388,0.2982885226014813,0.046,0.43166666666666664,0.5,2.0,7.3792142095044255,82.0,82,3.0,4.0,4.0,28.0,10.8
"          qid    docno  rank       score
0     1002197  3662526     1  106.724075
1     1002197  3580781     2  106.492355
2     1002197  3041679     3  106.386703
3     1002197  7243406     4  105.805832
4     1002197  7271914     5  105.500778
...       ...      ...   ...         ...
9995   998658  7117851    96   93.668091
9996   998658  3582803    97   93.641754
9997   998658  6548574    98   93.637779
9998   998658  4455776    99   93.623093
9999   998658   294572   100   93.619148

[10000 rows x 4 columns]",0.32547638942359003,0.3088538593279594,0.2991170940300527,0.046,0.43166666666666664,0.6,2.0,7.800501710735261,81.0,81,2.0,3.0,3.0,34.0,11.899999999999999
"          qid    docno  rank       score
0     1002197  3662526     1  106.724075
1     1002197  3580781     2  106.492355
2     1002197  3041679     3  106.386703
3     1002197  7243406     4  105.805832
4     1002197  7271914     5  105.500778
...       ...      ...   ...         ...
9995   998658  5413605    96   93.085327
9996   998658  3630292    97   93.064957
9997   998658  4055858    98   93.025368
9998   998658  2046245    99   93.004913
9999   998658  3790815   100   92.996948

[10000 rows x 4 columns]",0.30492414666418344,0.2925771818990032,0.2816748275206368,0.04300000000000001,0.39666666666666667,0.4,1.0,6.294035464525223,68.0,68,12.0,8.0,9.0,16.0,12.100000000000001
"          qid    docno  rank       score
0     1002197  3662526     1  106.724075
1     1002197  3580781     2  106.492355
2     1002197  3041679     3  106.386703
3     1002197  7243406     4  105.805832
4     1002197  7271914     5  105.500778
...       ...      ...   ...         ...
9995   998658  2712832    96   93.756966
9996   998658  2310987    97   93.755493
9997   998658  7872462    98   93.729950
9998   998658  6858122    99   93.729172
9999   998658  2218078   100   93.723923

[10000 rows x 4 columns]",0.3096481167556339,0.2891928519519713,0.27945608665406463,0.045,0.42166666666666663,0.7,0.5,7.2613623179495335,47.0,47,9.0,9.0,10.0,27.0,14.5
"          qid    docno  rank       score
0     1002197  3662526     1  106.724075
1     1002197  3580781     2  106.492355
2     1002197  3041679     3  106.386703
3     1002197  7243406     4  105.805832
4     1002197  7271914     5  105.500778
...       ...      ...   ...         ...
9995   998658  2712832    96   93.756966
9996   998658  2310987    97   93.755493
9997   998658  7872462    98   93.729950
9998   998658  6858122    99   93.729172
9999   998658  2218078   100   93.723923

[10000 rows x 4 columns]",0.31765229942486467,0.29840990328400335,0.28867313798609673,0.046,0.43166666666666664,0.7,2.0,7.976513681933284,80.0,80,5.0,7.0,7.0,35.0,14.600000000000001
"          qid    docno  rank       score
0     1002197  3662526     1  106.724075
1     1002197  3580781     2  106.492355
2     1002197  3041679     3  106.386703
3     1002197  7243406     4  105.805832
4     1002197  7271914     5  105.500778
...       ...      ...   ...         ...
9995   998658  6858119    96   93.955704
9996   998658  7839222    97   93.930939
9997   998658  6971345    98   93.888046
9998   998658   486360    99   93.874802
9999   998658  5899077   100   93.871788

[10000 rows x 4 columns]",0.3111440942392636,0.2883701154855948,0.2841421221175128,0.04400000000000001,0.425,0.8,2.0,7.587320557795465,79.0,79,7.0,11.0,8.0,31.0,15.099999999999998
