[16:05:45] [LOAD] Indice: /workspace/indices/msmarco_complete_tasb_ivf_flat
[16:06:06] [QualT5] @quantiles fallita (Expected sha256 'e0c1427e663bb018791947ab0b473ebe6eef41f18f0172ce6071fada1059bf75' but found 'a9b66b47d495170eebb66ce3a1b058243c7b1fa2163e63dec950d06841dedc63'). Fallback RAW).
[16:06:26] [QualT5] RAW → percentili [0,1] nel sample.
[16:06:33] [LOAD] Dataset & Query Cache...
[16:06:33] [GRID] Start: 77 combinazioni (Shares: [0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8], Margins: [0.0, 0.0001, 0.0005, 0.001, 0.005, 0.01, 0.05, 0.1, 0.3, 0.5, 1.0])
[16:06:33] --- [GRID] Computing Masks for High Share 0.20 ---
[16:06:35]   > Run: Share=0.20, Margin=0.0000
[16:07:43]     -> nDCG@10: 0.3064 | Time: 9.7ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[16:07:43]   > Run: Share=0.20, Margin=0.0001
[16:08:52]     -> nDCG@10: 0.3064 | Time: 9.7ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[16:08:52]   > Run: Share=0.20, Margin=0.0005
[16:10:00]     -> nDCG@10: 0.3064 | Time: 9.7ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[16:10:00]   > Run: Share=0.20, Margin=0.0010
[16:11:08]     -> nDCG@10: 0.3064 | Time: 9.6ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[16:11:08]   > Run: Share=0.20, Margin=0.0050
[16:12:16]     -> nDCG@10: 0.3064 | Time: 9.6ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[16:12:16]   > Run: Share=0.20, Margin=0.0100
[16:13:25]     -> nDCG@10: 0.3064 | Time: 9.8ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[16:13:25]   > Run: Share=0.20, Margin=0.0500
[16:14:34]     -> nDCG@10: 0.3064 | Time: 9.7ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[16:14:34]   > Run: Share=0.20, Margin=0.1000
[16:15:42]     -> nDCG@10: 0.3064 | Time: 9.6ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[16:15:42]   > Run: Share=0.20, Margin=0.3000
[16:16:50]     -> nDCG@10: 0.3064 | Time: 9.6ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[16:16:50]   > Run: Share=0.20, Margin=0.5000
[16:17:58]     -> nDCG@10: 0.3064 | Time: 9.6ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[16:17:58]   > Run: Share=0.20, Margin=1.0000
[16:19:06]     -> nDCG@10: 0.3064 | Time: 9.7ms | Rate: 61.4% | RR@10: 0.2793 | MAP: 0.2735
[16:19:06] --- [GRID] Computing Masks for High Share 0.30 ---
[16:19:08]   > Run: Share=0.30, Margin=0.0000
[16:20:22]     -> nDCG@10: 0.3265 | Time: 10.5ms | Rate: 63.0% | RR@10: 0.2947 | MAP: 0.2885
[16:20:22]   > Run: Share=0.30, Margin=0.0001
[16:21:38]     -> nDCG@10: 0.3265 | Time: 10.7ms | Rate: 63.0% | RR@10: 0.2947 | MAP: 0.2885
[16:21:38]   > Run: Share=0.30, Margin=0.0005
[16:22:52]     -> nDCG@10: 0.3265 | Time: 10.6ms | Rate: 63.0% | RR@10: 0.2947 | MAP: 0.2885
[16:22:52]   > Run: Share=0.30, Margin=0.0010
[16:24:07]     -> nDCG@10: 0.3265 | Time: 10.7ms | Rate: 63.0% | RR@10: 0.2947 | MAP: 0.2885
[16:24:07]   > Run: Share=0.30, Margin=0.0050
[16:25:22]     -> nDCG@10: 0.3265 | Time: 10.6ms | Rate: 63.0% | RR@10: 0.2947 | MAP: 0.2885
[16:25:22]   > Run: Share=0.30, Margin=0.0100
[16:26:37]     -> nDCG@10: 0.3265 | Time: 10.5ms | Rate: 63.0% | RR@10: 0.2947 | MAP: 0.2885
[16:26:37]   > Run: Share=0.30, Margin=0.0500
[16:27:51]     -> nDCG@10: 0.3265 | Time: 10.5ms | Rate: 63.0% | RR@10: 0.2947 | MAP: 0.2885
[16:27:51]   > Run: Share=0.30, Margin=0.1000
[16:29:06]     -> nDCG@10: 0.3265 | Time: 10.6ms | Rate: 63.0% | RR@10: 0.2947 | MAP: 0.2885
[16:29:06]   > Run: Share=0.30, Margin=0.3000
[16:30:20]     -> nDCG@10: 0.3265 | Time: 10.6ms | Rate: 63.0% | RR@10: 0.2947 | MAP: 0.2885
[16:30:20]   > Run: Share=0.30, Margin=0.5000
[16:31:35]     -> nDCG@10: 0.3265 | Time: 10.5ms | Rate: 63.0% | RR@10: 0.2947 | MAP: 0.2885
[16:31:35]   > Run: Share=0.30, Margin=1.0000
[16:32:49]     -> nDCG@10: 0.3265 | Time: 10.6ms | Rate: 63.0% | RR@10: 0.2947 | MAP: 0.2885
[16:32:49] --- [GRID] Computing Masks for High Share 0.40 ---
[16:32:51]   > Run: Share=0.40, Margin=0.0000
[16:34:11]     -> nDCG@10: 0.3460 | Time: 11.4ms | Rate: 65.1% | RR@10: 0.3101 | MAP: 0.3038
[16:34:11]   > Run: Share=0.40, Margin=0.0001
[16:35:32]     -> nDCG@10: 0.3460 | Time: 11.5ms | Rate: 65.1% | RR@10: 0.3101 | MAP: 0.3038
[16:35:32]   > Run: Share=0.40, Margin=0.0005
[16:36:53]     -> nDCG@10: 0.3460 | Time: 11.5ms | Rate: 65.1% | RR@10: 0.3101 | MAP: 0.3038
[16:36:53]   > Run: Share=0.40, Margin=0.0010
[16:38:14]     -> nDCG@10: 0.3460 | Time: 11.4ms | Rate: 65.1% | RR@10: 0.3101 | MAP: 0.3038
[16:38:14]   > Run: Share=0.40, Margin=0.0050
[16:39:34]     -> nDCG@10: 0.3460 | Time: 11.3ms | Rate: 65.1% | RR@10: 0.3101 | MAP: 0.3038
[16:39:34]   > Run: Share=0.40, Margin=0.0100
[16:40:54]     -> nDCG@10: 0.3460 | Time: 11.5ms | Rate: 65.1% | RR@10: 0.3101 | MAP: 0.3038
[16:40:54]   > Run: Share=0.40, Margin=0.0500
[16:42:16]     -> nDCG@10: 0.3460 | Time: 11.6ms | Rate: 65.1% | RR@10: 0.3101 | MAP: 0.3038
[16:42:16]   > Run: Share=0.40, Margin=0.1000
[16:43:37]     -> nDCG@10: 0.3460 | Time: 11.5ms | Rate: 65.1% | RR@10: 0.3101 | MAP: 0.3038
[16:43:37]   > Run: Share=0.40, Margin=0.3000
[16:44:58]     -> nDCG@10: 0.3460 | Time: 11.4ms | Rate: 65.1% | RR@10: 0.3101 | MAP: 0.3038
[16:44:58]   > Run: Share=0.40, Margin=0.5000
[16:46:19]     -> nDCG@10: 0.3460 | Time: 11.5ms | Rate: 65.1% | RR@10: 0.3101 | MAP: 0.3038
[16:46:19]   > Run: Share=0.40, Margin=1.0000
[16:47:39]     -> nDCG@10: 0.3460 | Time: 11.4ms | Rate: 65.1% | RR@10: 0.3101 | MAP: 0.3038
[16:47:39] --- [GRID] Computing Masks for High Share 0.50 ---
[16:47:41]   > Run: Share=0.50, Margin=0.0000
[16:49:06]     -> nDCG@10: 0.3589 | Time: 12.1ms | Rate: 66.9% | RR@10: 0.3200 | MAP: 0.3140
[16:49:06]   > Run: Share=0.50, Margin=0.0001
[16:50:30]     -> nDCG@10: 0.3589 | Time: 12.0ms | Rate: 66.9% | RR@10: 0.3200 | MAP: 0.3140
[16:50:30]   > Run: Share=0.50, Margin=0.0005
[16:51:56]     -> nDCG@10: 0.3589 | Time: 12.1ms | Rate: 66.9% | RR@10: 0.3200 | MAP: 0.3140
[16:51:56]   > Run: Share=0.50, Margin=0.0010
[16:53:21]     -> nDCG@10: 0.3589 | Time: 12.1ms | Rate: 66.9% | RR@10: 0.3200 | MAP: 0.3140
[16:53:21]   > Run: Share=0.50, Margin=0.0050
[16:54:46]     -> nDCG@10: 0.3589 | Time: 12.1ms | Rate: 66.9% | RR@10: 0.3200 | MAP: 0.3140
[16:54:46]   > Run: Share=0.50, Margin=0.0100
[16:56:10]     -> nDCG@10: 0.3589 | Time: 12.0ms | Rate: 66.9% | RR@10: 0.3200 | MAP: 0.3140
[16:56:10]   > Run: Share=0.50, Margin=0.0500
[16:57:35]     -> nDCG@10: 0.3589 | Time: 12.0ms | Rate: 66.9% | RR@10: 0.3200 | MAP: 0.3140
[16:57:35]   > Run: Share=0.50, Margin=0.1000
[16:58:59]     -> nDCG@10: 0.3589 | Time: 12.0ms | Rate: 66.9% | RR@10: 0.3200 | MAP: 0.3140
[16:58:59]   > Run: Share=0.50, Margin=0.3000
[17:00:25]     -> nDCG@10: 0.3589 | Time: 12.1ms | Rate: 66.9% | RR@10: 0.3200 | MAP: 0.3140
[17:00:25]   > Run: Share=0.50, Margin=0.5000
[17:01:51]     -> nDCG@10: 0.3589 | Time: 12.2ms | Rate: 66.9% | RR@10: 0.3200 | MAP: 0.3140
[17:01:51]   > Run: Share=0.50, Margin=1.0000
[17:03:15]     -> nDCG@10: 0.3589 | Time: 12.0ms | Rate: 66.9% | RR@10: 0.3200 | MAP: 0.3140
[17:03:15] --- [GRID] Computing Masks for High Share 0.60 ---
[17:03:17]   > Run: Share=0.60, Margin=0.0000
[17:04:48]     -> nDCG@10: 0.3698 | Time: 12.9ms | Rate: 68.1% | RR@10: 0.3280 | MAP: 0.3222
[17:04:48]   > Run: Share=0.60, Margin=0.0001
[17:06:19]     -> nDCG@10: 0.3698 | Time: 12.9ms | Rate: 68.1% | RR@10: 0.3280 | MAP: 0.3222
[17:06:19]   > Run: Share=0.60, Margin=0.0005
[17:07:51]     -> nDCG@10: 0.3698 | Time: 13.1ms | Rate: 68.1% | RR@10: 0.3280 | MAP: 0.3222
[17:07:51]   > Run: Share=0.60, Margin=0.0010
[17:09:21]     -> nDCG@10: 0.3698 | Time: 12.7ms | Rate: 68.1% | RR@10: 0.3280 | MAP: 0.3222
[17:09:21]   > Run: Share=0.60, Margin=0.0050
[17:10:51]     -> nDCG@10: 0.3698 | Time: 12.8ms | Rate: 68.1% | RR@10: 0.3280 | MAP: 0.3222
[17:10:51]   > Run: Share=0.60, Margin=0.0100
