bin_left,bin_right,count_tiny
0.40019500255584717,0.4051177203655243,1
0.4051177203655243,0.4100404679775238,0
0.4100404679775238,0.4149631857872009,0
0.4149631857872009,0.41988593339920044,1
0.41988593339920044,0.42480865120887756,1
0.42480865120887756,0.4297313690185547,0
0.4297313690185547,0.4346541166305542,0
0.4346541166305542,0.4395768344402313,3
0.4395768344402313,0.44449958205223083,2
0.44449958205223083,0.44942229986190796,6
0.44942229986190796,0.45434504747390747,4
0.45434504747390747,0.4592677652835846,4
0.4592677652835846,0.4641904830932617,10
0.4641904830932617,0.46911323070526123,13
0.46911323070526123,0.47403594851493835,13
0.47403594851493835,0.47895869612693787,17
0.47895869612693787,0.483881413936615,17
0.483881413936615,0.4888041615486145,19
0.4888041615486145,0.4937268793582916,22
0.4937268793582916,0.49864959716796875,33
0.49864959716796875,0.5035723447799683,44
0.5035723447799683,0.5084950923919678,52
0.5084950923919678,0.5134177803993225,61
0.5134177803993225,0.518340528011322,84
0.518340528011322,0.5232632756233215,115
0.5232632756233215,0.5281859636306763,118
0.5281859636306763,0.5331087112426758,116
0.5331087112426758,0.5380314588546753,186
0.5380314588546753,0.5429542064666748,240
0.5429542064666748,0.5478768944740295,289
0.5478768944740295,0.552799642086029,377
0.552799642086029,0.5577223896980286,409
0.5577223896980286,0.5626450777053833,533
0.5626450777053833,0.5675678253173828,667
0.5675678253173828,0.5724905729293823,822
0.5724905729293823,0.5774133205413818,951
0.5774133205413818,0.5823360085487366,1174
0.5823360085487366,0.5872587561607361,1415
0.5872587561607361,0.5921815037727356,1682
0.5921815037727356,0.5971041917800903,2012
0.5971041917800903,0.6020269393920898,2395
0.6020269393920898,0.6069496870040894,2841
0.6069496870040894,0.6118723750114441,3105
0.6118723750114441,0.6167951226234436,3554
0.6167951226234436,0.6217178702354431,4088
0.6217178702354431,0.6266406178474426,4639
0.6266406178474426,0.6315633058547974,5254
0.6315633058547974,0.6364860534667969,5858
0.6364860534667969,0.6414088010787964,6471
0.6414088010787964,0.6463314890861511,7096
0.6463314890861511,0.6512542366981506,7748
0.6512542366981506,0.6561769843101501,8493
0.6561769843101501,0.6610997319221497,11170
0.6610997319221497,0.6660224199295044,9935
0.6660224199295044,0.6709451675415039,11024
0.6709451675415039,0.6758679151535034,11696
0.6758679151535034,0.6807906031608582,12483
0.6807906031608582,0.6857133507728577,16171
0.6857133507728577,0.6906360983848572,14495
0.6906360983848572,0.6955587863922119,15284
0.6955587863922119,0.7004815340042114,16196
0.7004815340042114,0.7054042816162109,20548
0.7054042816162109,0.7103270292282104,18380
0.7103270292282104,0.7152497172355652,19311
0.7152497172355652,0.7201724648475647,24954
0.7201724648475647,0.7250952124595642,22103
0.7250952124595642,0.730017900466919,28260
0.730017900466919,0.7349406480789185,24979
0.7349406480789185,0.739863395690918,32081
0.739863395690918,0.7447861433029175,28395
0.7447861433029175,0.7497088313102722,29879
0.7497088313102722,0.7546315789222717,38518
0.7546315789222717,0.7595543265342712,41549
0.7595543265342712,0.764477014541626,36914
0.764477014541626,0.7693997621536255,47921
0.7693997621536255,0.774322509765625,51773
0.774322509765625,0.7792452573776245,46587
0.7792452573776245,0.7841679453849792,59405
0.7841679453849792,0.7890906929969788,65166
0.7890906929969788,0.7940134406089783,70285
0.7940134406089783,0.798936128616333,76337
0.798936128616333,0.8038588762283325,82804
0.8038588762283325,0.808781623840332,89419
0.808781623840332,0.8137043714523315,113151
0.8137043714523315,0.8186270594596863,104842
0.8186270594596863,0.8235498070716858,113763
0.8235498070716858,0.8284725546836853,121498
0.8284725546836853,0.83339524269104,152490
0.83339524269104,0.8383179903030396,163787
0.8383179903030396,0.8432407379150391,149725
0.8432407379150391,0.8481634259223938,185416
0.8481634259223938,0.8530861735343933,198238
0.8530861735343933,0.8580089211463928,208739
0.8580089211463928,0.8629316687583923,221705
0.8629316687583923,0.8678543567657471,232301
0.8678543567657471,0.8727771043777466,278167
0.8727771043777466,0.8776998519897461,252934
0.8776998519897461,0.8826225399971008,298824
0.8826225399971008,0.8875452876091003,307948
0.8875452876091003,0.8924680352210999,313979
0.8924680352210999,0.8973907828330994,317510
0.8973907828330994,0.9023134708404541,359802
0.9023134708404541,0.9072362184524536,360257
0.9072362184524536,0.9121589660644531,351956
0.9121589660644531,0.9170816540718079,343259
0.9170816540718079,0.9220044016838074,362413
0.9220044016838074,0.9269271492958069,339900
0.9269271492958069,0.9318498373031616,341900
0.9318498373031616,0.9367725849151611,304201
0.9367725849151611,0.9416953325271606,286034
0.9416953325271606,0.9466180801391602,256483
0.9466180801391602,0.9515407681465149,203147
0.9515407681465149,0.9564635157585144,172817
0.9564635157585144,0.9613862633705139,118059
0.9613862633705139,0.9663089513778687,82097
0.9663089513778687,0.9712316989898682,47674
0.9712316989898682,0.9761544466018677,21722
0.9761544466018677,0.9810771942138672,6670
0.9810771942138672,0.9859998822212219,1269
0.9859998822212219,0.9909226298332214,69
