bin_left,bin_right,count_base
0.0,0.008333333767950535,1
0.008333333767950535,0.01666666753590107,0
0.01666666753590107,0.02500000037252903,0
0.02500000037252903,0.03333333507180214,0
0.03333333507180214,0.0416666679084301,2
0.0416666679084301,0.05000000074505806,0
0.05000000074505806,0.05833333358168602,0
0.05833333358168602,0.06666667014360428,0
0.06666667014360428,0.07500000298023224,0
0.07500000298023224,0.0833333358168602,1
0.0833333358168602,0.09166666865348816,2
0.09166666865348816,0.10000000149011612,2
0.10000000149011612,0.10833333432674408,4
0.10833333432674408,0.11666666716337204,3
0.11666666716337204,0.125,2
0.125,0.13333334028720856,2
0.13333334028720856,0.14166666567325592,3
0.14166666567325592,0.15000000596046448,4
0.15000000596046448,0.15833333134651184,2
0.15833333134651184,0.1666666716337204,6
0.1666666716337204,0.17499999701976776,9
0.17499999701976776,0.18333333730697632,10
0.18333333730697632,0.19166666269302368,7
0.19166666269302368,0.20000000298023224,10
0.20000000298023224,0.2083333283662796,6
0.2083333283662796,0.21666666865348816,18
0.21666666865348816,0.22499999403953552,16
0.22499999403953552,0.23333333432674408,23
0.23333333432674408,0.24166665971279144,34
0.24166665971279144,0.25,24
0.25,0.25833332538604736,28
0.25833332538604736,0.2666666805744171,33
0.2666666805744171,0.2750000059604645,34
0.2750000059604645,0.28333333134651184,67
0.28333333134651184,0.2916666567325592,52
0.2916666567325592,0.30000001192092896,53
0.30000001192092896,0.3083333373069763,58
0.3083333373069763,0.3166666626930237,80
0.3166666626930237,0.32499998807907104,75
0.32499998807907104,0.3333333432674408,105
0.3333333432674408,0.34166666865348816,105
0.34166666865348816,0.3499999940395355,126
0.3499999940395355,0.3583333194255829,99
0.3583333194255829,0.36666667461395264,130
0.36666667461395264,0.375,158
0.375,0.38333332538604736,175
0.38333332538604736,0.3916666805744171,172
0.3916666805744171,0.4000000059604645,204
0.4000000059604645,0.40833333134651184,212
0.40833333134651184,0.4166666567325592,253
0.4166666567325592,0.42500001192092896,304
0.42500001192092896,0.4333333373069763,360
0.4333333373069763,0.4416666626930237,398
0.4416666626930237,0.44999998807907104,457
0.44999998807907104,0.4583333432674408,489
0.4583333432674408,0.46666666865348816,536
0.46666666865348816,0.4749999940395355,605
0.4749999940395355,0.4833333194255829,556
0.4833333194255829,0.49166667461395264,664
0.49166667461395264,0.5,805
0.5,0.5083333253860474,790
0.5083333253860474,0.5166666507720947,855
0.5166666507720947,0.5249999761581421,967
0.5249999761581421,0.5333333611488342,1014
0.5333333611488342,0.5416666865348816,1121
0.5416666865348816,0.550000011920929,1199
0.550000011920929,0.5583333373069763,1437
0.5583333373069763,0.5666666626930237,1529
0.5666666626930237,0.574999988079071,1689
0.574999988079071,0.5833333134651184,1975
0.5833333134651184,0.5916666388511658,2099
0.5916666388511658,0.6000000238418579,2336
0.6000000238418579,0.6083333492279053,2646
0.6083333492279053,0.6166666746139526,2755
0.6166666746139526,0.625,3170
0.625,0.6333333253860474,3467
0.6333333253860474,0.6416666507720947,3789
0.6416666507720947,0.6499999761581421,4368
0.6499999761581421,0.6583333611488342,5078
0.6583333611488342,0.6666666865348816,5480
0.6666666865348816,0.675000011920929,6437
0.675000011920929,0.6833333373069763,7501
0.6833333373069763,0.6916666626930237,8054
0.6916666626930237,0.699999988079071,9851
0.699999988079071,0.7083333134651184,11256
0.7083333134651184,0.7166666388511658,12928
0.7166666388511658,0.7250000238418579,15077
0.7250000238418579,0.7333333492279053,18830
0.7333333492279053,0.7416666746139526,22511
0.7416666746139526,0.75,25251
0.75,0.7583333253860474,31151
0.7583333253860474,0.7666666507720947,36943
0.7666666507720947,0.7749999761581421,46400
0.7749999761581421,0.7833333611488342,52335
0.7833333611488342,0.7916666865348816,65585
0.7916666865348816,0.800000011920929,77060
0.800000011920929,0.8083333373069763,94992
0.8083333373069763,0.8166666626930237,111056
0.8166666626930237,0.824999988079071,127190
0.824999988079071,0.8333333134651184,151691
0.8333333134651184,0.8416666388511658,177841
0.8416666388511658,0.8500000238418579,189066
0.8500000238418579,0.8583333492279053,226803
0.8583333492279053,0.8666666746139526,248108
0.8666666746139526,0.875,279547
0.875,0.8833333253860474,312248
0.8833333253860474,0.8916666507720947,347163
0.8916666507720947,0.8999999761581421,396918
0.8999999761581421,0.9083333611488342,435144
0.9083333611488342,0.9166666865348816,468513
0.9166666865348816,0.925000011920929,531460
0.925000011920929,0.9333333373069763,572750
0.9333333373069763,0.9416666626930237,635364
0.9416666626930237,0.949999988079071,659986
0.949999988079071,0.9583333134651184,689293
0.9583333134651184,0.9666666388511658,670201
0.9666666388511658,0.9750000238418579,545404
0.9750000238418579,0.9833333492279053,336877
0.9833333492279053,0.9916666746139526,115837
0.9916666746139526,1.0,10984
